,Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Nap
0,10/13/2022 22:09,,UTC-04:00,10/13/2022 22:09,10/14/2022 8:01,100,19.5,564,592,277,144,143,28,465,0,95,False
1,10/13/2022 0:08,10/13/2022 22:09,UTC-04:00,10/13/2022 0:08,10/13/2022 7:54,100,18.8,449,465,214,115,120,16,449,0,96,False
2,10/11/2022 22:41,10/13/2022 0:08,UTC-04:00,10/11/2022 22:41,10/12/2022 7:14,100,19.4,472,509,233,111,128,37,448,0,93,False
3,10/10/2022 21:19,10/11/2022 22:41,UTC-04:00,10/10/2022 21:19,10/11/2022 8:39,100,19.2,581,679,365,125,91,98,449,0,87,False
4,10/9/2022 22:32,10/10/2022 21:19,UTC-04:00,10/9/2022 22:32,10/10/2022 8:02,100,19.7,522,570,272,74,176,48,449,0,91,False
5,10/8/2022 23:06,10/9/2022 22:32,UTC-04:00,10/8/2022 23:06,10/9/2022 9:47,100,20.7,558,639,282,102,174,81,453,0,87,False
6,10/7/2022 22:59,10/8/2022 23:06,UTC-04:00,10/7/2022 22:59,10/8/2022 8:35,100,20.5,515,571,249,108,158,56,453,0,90,False
7,10/6/2022 22:37,10/7/2022 22:59,UTC-04:00,10/6/2022 22:37,10/7/2022 7:42,100,20.1,504,544,206,105,193,40,464,13,92,False
8,10/5/2022 22:53,10/6/2022 22:37,UTC-04:00,10/5/2022 22:53,10/6/2022 6:17,94,19.8,421,444,194,94,133,23,448,0,94,False
9,10/4/2022 22:12,10/5/2022 22:53,UTC-04:00,10/4/2022 22:12,10/5/2022 7:17,100,19.9,514,544,272,84,158,30,489,11,94,False
10,10/3/2022 22:43,10/4/2022 22:12,UTC-04:00,10/3/2022 22:43,10/4/2022 6:59,96,19.6,454,493,229,103,122,39,474,13,92,False
11,10/2/2022 22:32,10/3/2022 22:43,UTC-04:00,10/2/2022 22:32,10/3/2022 6:52,94,19.4,469,496,290,76,103,27,500,33,95,False
12,10/2/2022 0:05,10/2/2022 22:32,UTC-04:00,10/2/2022 0:05,10/2/2022 7:16,85,19.4,381,430,166,89,126,49,449,0,97,False
13,9/30/2022 23:05,10/2/2022 0:05,UTC-04:00,9/30/2022 23:05,10/1/2022 8:39,100,19.1,514,573,207,128,179,59,473,0,91,False
14,9/29/2022 22:19,9/30/2022 23:05,UTC-04:00,9/29/2022 22:19,9/30/2022 6:47,100,19.0,486,505,211,113,162,19,464,5,96,False
15,9/28/2022 22:54,9/29/2022 22:19,UTC-04:00,9/28/2022 22:54,9/29/2022 7:17,98,19.4,483,503,274,81,128,20,493,35,96,False
16,9/27/2022 23:19,9/28/2022 22:54,UTC-04:00,9/27/2022 23:19,9/28/2022 6:33,84,19.1,402,431,170,92,140,29,478,13,93,False
17,9/26/2022 23:19,9/27/2022 23:19,UTC-04:00,9/26/2022 23:19,9/27/2022 7:15,94,19.5,432,475,196,101,135,43,459,0,93,False
18,9/25/2022 20:51,9/26/2022 23:19,UTC-04:00,9/25/2022 20:51,9/26/2022 6:58,100,19.6,563,607,255,123,185,44,465,0,94,False
19,9/24/2022 22:45,9/25/2022 20:51,UTC-04:00,9/24/2022 22:45,9/25/2022 7:26,100,19.5,479,518,224,100,155,39,452,0,92,False
20,9/23/2022 23:09,9/24/2022 22:45,UTC-04:00,9/23/2022 23:09,9/24/2022 8:15,100,19.3,512,546,235,118,159,34,483,0,93,False
